ID,Vel,Mag,RA,Dec,Obs,Arc(hr)
M14xN8H,1.054,18.4,56.3535,-5.5898,3,0.8
8o3c9x4,1.25,21.2,45.1552,-6.1903,2,54.0
29Q0YZ,2.685,16.4,49.2915,-5.0989,4,1.6
29Q0ZH,2.708,18.0,50.7466,-8.4244,4,1.6
2CN056,2.957,19.5,58.1675,-11.6544,4,1.3
29S04U,2.962,18.2,51.0899,-10.1539,4,1.5
29S04T,3.291,18.2,50.9211,-13.9469,4,1.5
2CM0H9,3.317,18.6,54.8138,-6.5892,4,1.7
3AE1UO,3.353,18.6,64.2907,-5.837,4,2.0
2CN051,3.644,19.0,53.5224,-12.8937,4,1.3
P11nR2G,3.75,21.7,45.579,-9.6649,3,0.6
29S055,3.871,18.4,56.1568,-11.1708,4,1.5
9CU009,3.957,18.4,47.4237,-7.8588,3,1.8
2CN052,4.067,19.4,55.236,-15.7404,4,1.3
2CM0GE,4.156,19.0,49.0263,-7.1332,4,1.7
29S05G,4.184,16.6,59.8879,-13.4435,4,1.5
29L00G,4.291,15.9,49.1252,-24.3339,4,1.0
11D01G,4.507,18.5,45.1832,-17.7142,3,1.0
29S05D,4.694,17.8,59.7238,-13.4839,4,1.5
P10hxcF,4.815,22.4,60.6258,-6.7285,3,0.6
